Position,Game,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update
1242,My Big Sister,Ratalaika Games,Stranga,N/A,N/A,N/A,N/A,10th May 19,21st Aug 19
1243,My Brother Rabbit,Unknown,Artifex Mundi,N/A,N/A,9.0,N/A,N/A,26th Mar 19
1244,My Friend Pedro,Devolver Digital,N/A,N/A,N/A,N/A,N/A,20th Jun 19,10th Jun 19
1245,My Girlfriend is a Mermaid!?,Sekai Project,Cosen,N/A,N/A,N/A,N/A,28th Feb 19,24th Feb 19
1246,My Hero One’s Justice 2,Bandai Namco Entertainment,Byking,N/A,N/A,N/A,N/A,13th Mar 20,06th Dec 19
1247,My Little Riding Champion,Maximum Games,Caipirinha Games,N/A,N/A,N/A,N/A,29th Jan 19,03rd Jan 19
1248,My Memory of Us,IMGN PRO,Juggler Games,N/A,N/A,N/A,N/A,24th Jan 19,24th Mar 19
1249,My Time At Portia,Team 17,Pathea Games,N/A,N/A,N/A,N/A,16th Apr 19,15th Apr 19
1250,N.E.R.O.: Nothing Ever Remains Obscure,Unknown,Storm in a Teacup,N/A,N/A,N/A,N/A,N/A,17th Jul 18
1251,N1RV Ann-A,Unknown,Sukeban Games,N/A,N/A,N/A,N/A,N/A,25th Sep 18
1252,Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,Bandai Namco Entertainment,CyberConnect2,N/A,N/A,N/A,N/A,24th Apr 20,06th Jan 20
1253,NASCAR Heat Ultimate Edition+,Motorsport Games,704Games,N/A,N/A,N/A,N/A,19th Nov 21,04th Jan 22
1254,NBA 2K20,2K Sports,Visual Concepts,N/A,N/A,N/A,N/A,06th Sep 19,21st Jul 19
1255,NBA 2K21,2K Sports,Visual Concepts,N/A,N/A,N/A,N/A,04th Sep 20,14th Jun 20
1256,NBA Playgrounds,Saber Interactive,Saber Interactive,N/A,N/A,N/A,N/A,04th Jan 18,23rd Mar 18
1257,Necrobarista,Unknown,Route 59,N/A,N/A,N/A,N/A,N/A,05th Jan 18
1258,Need a Packet?,Marginal act,Marginal act,N/A,N/A,N/A,N/A,24th Jul 20,18th Jul 20
1259,Need for Speed: Hot Pursuit Remastered,Electronic Arts,Criterion Games,N/A,N/A,N/A,N/A,13th Nov 20,26th Jan 21
1260,Nefarious,Digerati,StarBlade,N/A,N/A,7.0,N/A,13th Sep 18,10th Sep 18
1261,Nekopara,Sekai Project,Neko Works,N/A,N/A,N/A,N/A,30th Dec 18,28th Jan 18
1262,Nelke & the Legendary Alchemists: Ateliers of the New World,Koei Tecmo,Gust,N/A,N/A,N/A,N/A,26th Mar 19,06th Feb 19
1263,Neo: The World Ends with You,Square Enix,h.a.n.d. Inc.,N/A,N/A,N/A,N/A,27th Jul 21,03rd Aug 21
1264,Neon Abyss,Team 17,Veewo Games,N/A,N/A,N/A,N/A,14th Jul 20,08th Aug 19
1265,Neon Chrome,10tons,10tons Ltd,N/A,N/A,N/A,N/A,12th Oct 17,23rd Mar 18
1266,Neon City Riders,Bromio,Mecha Studios,N/A,N/A,N/A,N/A,01st Dec 20,07th Dec 19
1267,Neon Junctions,9 Eyes Game Studio,9 Eyes Game Studio,N/A,N/A,N/A,N/A,07th Jun 19,25th Jun 19
1268,Neon White,Unknown,Ben Esposito,N/A,N/A,N/A,N/A,N/A,18th Feb 21
1269,"Neonwall
Read the review",JanduSoft S.L.,JanduSoft,6.0,N/A,N/A,N/A,15th Mar 18,23rd Mar 18
1270,"Neoverse Trinity Edition
Read the review",Unknown,Tinogames Inc.,6.0,N/A,N/A,N/A,N/A,01st Feb 21
1271,Nerf Legends,GameMill Entertainment,FUN Labs,N/A,N/A,N/A,N/A,19th Nov 21,11th Jun 22
1272,NeuroVoider,Plug In Digital,Flying Oak,N/A,N/A,N/A,N/A,07th Sep 17,23rd Mar 18
1273,Never Stop Sneakin',Humble Hearts,Humble Hearts,N/A,N/A,N/A,N/A,14th Dec 17,11th Mar 18
1274,Neverwinter Nights: Enhanced Edition,Beamdog,BioWare,N/A,N/A,N/A,N/A,03rd Dec 19,16th Jun 19
1275,New Frontier Days: Founding Pioneers,Arc System Works,Arc System Works,N/A,N/A,N/A,N/A,23rd Mar 17,23rd Mar 18
1276,New Super Lucky’s Tale,Playful,Playful Corp.,N/A,N/A,N/A,N/A,08th Nov 19,31st Jul 19
1277,Newt One,DevNAri,DevNAri,N/A,N/A,N/A,N/A,30th Aug 19,05th Aug 19
1278,Nexomon,PQube,"LIME TURTLE, INC.",N/A,N/A,N/A,N/A,17th Sep 21,07th Nov 21
1279,Nexomon: Extinction,PQube,"LIME TURTLE, INC.",N/A,N/A,N/A,N/A,28th Aug 20,17th Jan 21
1280,Next Up Hero,"Aspyr Media, Inc.",Digital Continue,N/A,N/A,N/A,N/A,01st Apr 18,23rd Mar 18
1281,Ni no Kuni II: Revenant Kingdom - Prince's Edition,Unknown,Level 5,N/A,N/A,N/A,N/A,N/A,08th Nov 21
1282,Ni no Kuni: Wrath of the White Witch,Bandai Namco Entertainment,Bandai Namco Games,N/A,N/A,N/A,N/A,20th Sep 19,13th Jun 19
1283,Nickelodeon All-Star Brawl,GameMill Entertainment,Ludosity,N/A,N/A,N/A,N/A,05th Oct 21,27th Feb 22
1284,Nickelodeon Kart Racers 2: Grand Prix,GameMill Entertainment,Bamtang,N/A,N/A,N/A,N/A,06th Oct 20,18th Dec 20
1285,NieR: Automata The End of YoRHa Edition,Square Enix,PlatinumGames,N/A,N/A,N/A,N/A,06th Oct 22,28th Jun 22
1286,Night In The Woods,Finji,Infinite Fall,N/A,N/A,N/A,N/A,01st Feb 18,18th Feb 18
1287,Nightmare Boy,Badland Games,The Vanir Project,N/A,N/A,N/A,N/A,16th Jan 18,23rd Mar 18
1288,Nine Parchments,Frozenbyte,Frozenbyte,N/A,N/A,N/A,N/A,05th Dec 17,23rd Mar 18
1289,Ninja Gaiden: Master Collection,Unknown,Koei Tecmo Games,N/A,N/A,N/A,N/A,N/A,18th Feb 21
1290,Ninja JaJaMaru Collection,City Connection,City Connection,N/A,N/A,N/A,N/A,01st Dec 19,31st Jul 19
1291,Ninja Shodown,Rising Star Games,Bitmap Bureau,N/A,N/A,N/A,N/A,05th Oct 17,23rd Mar 18
1292,Ninjala,GungHo,GungHo,N/A,N/A,N/A,N/A,24th Jun 20,08th Apr 19
1293,"Ninjin: Clash of Carrots
Read the review",Modus Games,Pocket Trap,6.0,N/A,N/A,N/A,04th Sep 18,20th Apr 19
1294,Nintendo Labo: Toy-Con 04 VR Kit,Nintendo,Nintendo EPD,N/A,N/A,N/A,N/A,12th Apr 19,18th Oct 19
1295,"Nintendo Switch Sports
Read the review",Nintendo,Nintendo,3.0,N/A,N/A,N/A,29th Apr 22,09th Feb 22
1296,No Heroes Here,Mad Mimic,Mad Mimic,N/A,N/A,N/A,N/A,28th Jun 18,18th Apr 22
1297,No More Heroes III,Marvelous,Grasshopper Manufacture,N/A,N/A,N/A,N/A,27th Aug 21,30th Oct 19
1298,No Straight Roads,Unknown,Metronomik,N/A,N/A,N/A,N/A,N/A,23rd Sep 20
1299,NO THING,Forever Entertainment S.A.,Forever Entertainment S.A.,N/A,N/A,N/A,N/A,22nd Mar 18,23rd Mar 18
1300,Nom Nom Apocalypse,Unknown,Deadleaf Games,N/A,N/A,N/A,N/A,N/A,12th Mar 20
1301,"Nora, Princess, and Crying Cat",Piacci,Harukaze,N/A,N/A,N/A,N/A,28th Feb 19,24th Feb 19
1302,Norman's Great Illusion,Unknown,CivilSavages,N/A,N/A,N/A,N/A,N/A,16th Aug 20
1303,NORTH,Unknown,Outlands,N/A,N/A,N/A,N/A,N/A,22nd Feb 18
1304,"Northgard
Read the review",Shiro Games,Unknown,7.0,N/A,N/A,N/A,26th Sep 19,24th Sep 19
1305,Nuclien,Springloaded,Springloaded,N/A,N/A,N/A,N/A,19th Jan 18,23rd Mar 18
1306,"Ocean's Heart
Read the review",Unknown,Max Mraz,6.5,N/A,N/A,N/A,N/A,24th Jan 22
1307,"Oceanhorn 2: Knights of the Lost Realm
Read the review",Unknown,Cornfox & Brothers,6.0,N/A,N/A,N/A,N/A,01st Nov 20
1308,Oceanhorn: Monster of Uncharted Seas,FDG Entertainment,Cornfox & Brothers,N/A,N/A,N/A,N/A,22nd Jun 17,20th Apr 19
1309,Octodad: Dadliest Catch,Young Horses,Young Horses,N/A,N/A,N/A,N/A,09th Nov 17,25th Mar 18
1310,"Odallus: The Dark Call
Read the review",Digerati,JoyMasher,6.0,N/A,N/A,N/A,08th Feb 19,06th Feb 19
1311,Oddworld: Abe's Oddysee New N' Tasty!,Oddworld Inhabitants,Just Add Water,N/A,N/A,N/A,N/A,27th Oct 20,03rd Oct 20
1312,Of Mice and Sand: Revised,Arc System Works,Arc System Works,N/A,N/A,N/A,N/A,11th Jan 18,25th Mar 18
1313,Oh...Sir! The Hollywood Roast,Gambitious,Gambitious,N/A,N/A,N/A,N/A,18th Jan 18,25th Mar 18
1314,Oh...Sir! The Insult Simulator,Gambitious,Gambitious,N/A,N/A,N/A,N/A,18th Jan 18,25th Mar 18
1315,OkunoKa,Unknown,Caracal Games,N/A,N/A,N/A,N/A,N/A,08th Nov 21
1316,OkunoKA Madness,Unknown,Caracal Games,N/A,N/A,N/A,N/A,N/A,08th Nov 21
1317,"Old Man's Journey
Read the review",Broken Rules,Broken Rules,5.0,N/A,8.8,N/A,20th Feb 18,12th Feb 18
1318,"Olija
Read the review",Unknown,Skeleton Crew Studios,7.0,N/A,N/A,N/A,N/A,16th Jan 21
1319,OlliOlli World,Unknown,Roll7,N/A,N/A,N/A,N/A,N/A,13th Jun 21
1320,OlliOlli: Switch Stance,Gambitious,Roll7,N/A,N/A,N/A,N/A,14th Feb 19,05th Apr 19
1321,Olympic Games Tokyo 2020 - The Official Video Game,Sega,Sega,N/A,N/A,N/A,N/A,31st Dec 20,08th Apr 19
1322,Omno,Unknown,Jonas Manke,N/A,N/A,N/A,N/A,N/A,03rd Aug 21
1323,One Eyed Kutkh,Sometimes You,Sometimes You,N/A,N/A,N/A,N/A,09th Mar 18,25th Mar 18
1324,One More Dungeon,Ratalaika Games,Ratalaika Games,N/A,N/A,6.0,N/A,14th Dec 17,25th Mar 18
1325,One Night Stand,Kinmoku,Kinmoku,N/A,N/A,N/A,N/A,04th Oct 19,11th Jun 19
1326,One Piece: Pirate Warriors 4,Bandai Namco Entertainment,Omega Force,N/A,N/A,N/A,N/A,27th Mar 20,11th Jul 19
1327,One Way Heroics Plus,Unknown,Smoking Wolf,N/A,N/A,N/A,N/A,N/A,07th Jun 20
1328,"Oniken: Unstoppable Edition
Read the review",Unknown,JoyMasher,5.0,N/A,7.0,N/A,N/A,06th Feb 19
1329,Onimusha Warlords,Capcom,Capcom,N/A,N/A,N/A,N/A,15th Jan 19,18th Nov 18
1330,Oninaki,Square Enix,Tokyo RPG Factory,N/A,N/A,N/A,N/A,22nd Aug 19,13th Feb 19
1331,Onirike,Unknown,DevilishGames,N/A,N/A,N/A,N/A,N/A,18th Jun 21
1332,OPUS: Collection,PM Studios,SIGONO,N/A,N/A,N/A,N/A,26th Feb 19,03rd Jan 19
1333,OPUS: Rocket of Whispers,Flyhigh Works,SIGONO,N/A,N/A,N/A,N/A,22nd Mar 18,05th Jan 18
1334,OPUS: The Day We Found Earth,Flyhigh Works,SIGONO,N/A,N/A,N/A,N/A,30th Nov 17,05th Jan 18
1335,Ori and the Blind Forest: Definitive Edition,Xbox Game Studios,Moon Studios,N/A,N/A,8.3,N/A,27th Sep 19,09th Sep 19
1336,Ori and the Will of the Wisps,iam8bit,Moon Studios,N/A,N/A,9.7,N/A,17th Sep 20,17th Sep 20
1337,Orn: The Tiny Forest Sprite,FIVE12 GAMES,FIVE12 GAMES,N/A,N/A,N/A,N/A,24th Jan 20,16th Jan 20
1338,Ostwind/Windstorm,EuroVideo Medien,EuroVideo Medien,N/A,N/A,N/A,N/A,14th Dec 17,04th Jul 18
1339,Othello,Arc System Works,Arc System Works,N/A,N/A,N/A,N/A,23rd Mar 17,25th Mar 18
1340,Othercide,Unknown,Lightbulb Crew,N/A,N/A,N/A,N/A,N/A,01st Aug 20
1341,Our World Is Ended.,PQube,RED Entertainment,N/A,N/A,N/A,N/A,26th Mar 19,24th Feb 19
1342,Out of Line,Unknown,Nerd Monkeys,N/A,N/A,N/A,N/A,N/A,26th Jun 21
1343,Outer Wilds,Unknown,Mobius Digital,N/A,N/A,N/A,N/A,N/A,18th Feb 21
1344,Outlast II,Red Barrels,Red Barrels,N/A,N/A,N/A,N/A,27th Mar 18,31st Dec 17
1345,Outlast: Bundle of Terror,Red Barrels,Red Barrels,N/A,N/A,N/A,N/A,27th Feb 18,25th Mar 18
1346,Overcooked! All You Can Eat,Unknown,Ghost Town Games,N/A,N/A,N/A,N/A,N/A,07th Nov 21
1347,Overland,Finji,Finji,N/A,N/A,N/A,N/A,19th Sep 19,22nd Mar 19
1348,Overwatch,Blizzard Entertainment,Blizzard Entertainment,N/A,N/A,N/A,N/A,15th Oct 19,09th Sep 19
1349,Overwatch 2,Unknown,Blizzard Entertainment,N/A,N/A,N/A,N/A,N/A,02nd Nov 19
1350,Oxenfree,Night School Studio,Night School Studio,N/A,N/A,N/A,N/A,06th Oct 17,05th Feb 18
1351,Pac-Man 99,Unknown,Arika,N/A,N/A,N/A,N/A,N/A,01st Aug 21
1352,Pac-Man World Re-Pac,Unknown,Now Production,N/A,N/A,N/A,N/A,N/A,13th Jul 22
1353,Pac-Man: Championship Edition 2 Plus,Bandai Namco Entertainment,Bandai Namco,N/A,N/A,N/A,N/A,22nd Feb 18,25th Mar 18
1354,Packet Queen #,Studio F-Sharp,"INFOARISE Co., Ltd.",N/A,N/A,N/A,N/A,01st Mar 18,25th Mar 18
1355,Paladins,Hi-Rez Studios,Hi-Rez Studios,N/A,N/A,8.0,N/A,12th Jun 18,09th Jun 19
1356,Pan-Pan,Might and Delight,Spelkraft,N/A,N/A,N/A,N/A,14th Sep 17,03rd Feb 18
1357,Pandemic,Asmodee Digital,Asmodee Digital,N/A,N/A,N/A,N/A,01st Aug 19,10th Nov 18
1358,"Pang Adventures
Read the review",Unknown,DotEmu,6.0,N/A,N/A,N/A,N/A,06th Jan 19
1359,Pankapu,Plug In Digital,Plug In Digital,N/A,N/A,N/A,N/A,28th Sep 17,25th Mar 18
1360,"Panorama Cotton
Read the review",Unknown,Success,5.0,N/A,N/A,N/A,N/A,21st Oct 21
1361,"Pantsu Hunter: Back to the 90s
Read the review",Unknown,Ascension Dream,3.0,N/A,N/A,N/A,N/A,22nd Aug 19
1362,Panty Party,Unknown,Animu Game,N/A,N/A,N/A,N/A,N/A,07th Jan 19
1363,Panzer Dragoon: Remake,Forever Entertainment S.A.,MegaPixel Studio S.A.,N/A,N/A,N/A,N/A,26th Mar 20,18th Feb 21
1364,Paper Wars: Cannon Fodder Devastated,iFun4all,iFun4all,N/A,N/A,N/A,N/A,01st Mar 18,25th Mar 18
1365,Paradise Killer,Unknown,Kaizen Game Works,N/A,N/A,N/A,N/A,N/A,06th Mar 22
1366,Paranautical Activity,Digerati,Digerati,N/A,N/A,4.0,N/A,28th Jun 18,28th Jun 18
1367,Paratopic,Baltoro Games,Arbitrary Metric,N/A,N/A,N/A,N/A,21st Aug 20,08th Nov 21
1368,Part time UFO,Nintendo,HAL Laboratory,N/A,N/A,N/A,N/A,28th Oct 20,07th Nov 21
1369,Party Golf,Giant Margarita,Giant Margarita,N/A,N/A,N/A,N/A,19th Oct 17,25th Mar 18
1370,Pass The Punch,Sumo Digital,Sumo Digital,N/A,N/A,N/A,N/A,01st Dec 19,07th Aug 19
1371,Pathfinder: Kingmaker,Deep Silver,Owlcat Games,N/A,N/A,N/A,N/A,25th Dec 20,18th Nov 18
1372,Penguin Wars,Dispatch Games,Dispatch Games,N/A,N/A,N/A,N/A,22nd Aug 19,16th Mar 18
1373,Perception,Feardemic,The Deep End Games,N/A,6.0,7.9,N/A,31st Oct 17,04th Feb 18
1374,Persian Nights: Sands Of Wonders,Artifex Mundi sp. z o.o.,Artifex Mundi,N/A,N/A,7.5,N/A,17th Aug 18,09th Sep 18
1375,Persona 5 Strikers,Atlus,Omega Force,N/A,N/A,N/A,N/A,23rd Feb 21,04th Dec 20
1376,PGA Tour 2K21,2K Sports,HB Studios,N/A,N/A,N/A,N/A,21st Aug 20,16th May 20
1377,Phantasy Star Online 2: Cloud,Sega,Sega,N/A,N/A,N/A,N/A,04th Apr 18,06th Nov 18
1378,Phantasy Star Online 2: New Genesis,Unknown,Sega,N/A,N/A,N/A,N/A,N/A,23rd Jul 20
1379,Phantom Breaker: Battle Grounds Overdrive,MAGES,MAGES,N/A,N/A,N/A,N/A,07th Dec 17,25th Mar 18
1380,Phantom Breaker: Omnia,Unknown,MAGES. Inc.,N/A,N/A,N/A,N/A,N/A,15th Jan 22
1381,Phantom Doctrine,Forever Entertainment S.A.,CreativeForge Games,N/A,N/A,N/A,N/A,06th Jun 19,17th Apr 22
1382,Phantom Trigger,TinyBuild Games,TinyBuild Games,N/A,N/A,N/A,N/A,10th Aug 17,25th Mar 18
1383,"Phoenix Wright: Ace Attorney Trilogy
Read the review",Capcom,Capcom,6.0,N/A,N/A,N/A,09th Apr 19,09th Mar 19
1384,Phogs!,Unknown,Bit Loom Studios,N/A,N/A,N/A,N/A,N/A,26th Dec 20
1385,Physical Contact: 2048,Collavier Corporation,Collavier Corporation,N/A,N/A,N/A,N/A,07th Sep 17,25th Mar 18
1386,Physical Contact: Picture Place,Collavier Corporation,Collavier Corporation,N/A,N/A,N/A,N/A,28th Sep 17,25th Mar 18
1387,Physical Contact: SPEED,Collavier Corporation,Collavier Corporation,N/A,N/A,N/A,N/A,27th Jul 17,25th Mar 18
1388,Pic-a-Pix Deluxe,Unknown,Lightwood Games,N/A,N/A,N/A,N/A,N/A,07th Jan 18
1389,Picross S,Jupiter Corporation,Jupiter Corporation,N/A,N/A,8.5,N/A,28th Sep 17,03rd Feb 18
1390,Picross S2,Jupiter Corporation,Jupiter Corporation,N/A,N/A,N/A,N/A,02nd Aug 18,10th Nov 21
1391,Picross S3,Jupiter Corporation,Jupiter Corporation,N/A,N/A,N/A,N/A,25th Apr 19,20th Apr 19
1392,Picross S4,Jupiter Corporation,Jupiter Corporation,N/A,N/A,N/A,N/A,23rd Apr 20,16th Apr 20
1393,Picross S5,Jupiter Corporation,Jupiter Corporation,N/A,N/A,N/A,N/A,26th Nov 20,10th Nov 21
1394,Picross S6,Jupiter Corporation,Jupiter Corporation,N/A,N/A,N/A,N/A,22nd Apr 21,10th Nov 21
1395,Piczle Lines DX,Score Studios,Score Studios,N/A,N/A,6.9,N/A,24th Aug 17,02nd Mar 18
1396,Piczle Puzzle Pack 3-in-1,Rainy Frog,Score Studios,N/A,N/A,N/A,N/A,25th Apr 19,25th Mar 19
1397,Pikuniku,Devolver Digital,Sectordub,N/A,N/A,N/A,N/A,24th Jan 19,24th Mar 19
1398,Pile Up! Box by Box,Unknown,Seed by Seed,N/A,N/A,N/A,N/A,N/A,26th Jul 21
1399,Pillars of Eternity II: Deadfire,Versus Evil,Red Cerberus,N/A,N/A,N/A,N/A,30th Dec 18,06th Feb 18
1400,"Pillars of Eternity: Complete Edition
Read the review",Versus Evil,Obsidian Entertainment,7.0,N/A,N/A,N/A,08th Aug 19,27th Jul 19
1401,"Pilot Sports
Read the review",EuroVideo Medien,Z-Software GmbH,4.0,N/A,N/A,N/A,27th Sep 18,02nd Nov 18
1402,Pinball FX 3,Zen Studios,Zen Studios,N/A,N/A,N/A,N/A,12th Dec 17,31st Dec 17
1403,Pitfall Planet,Abstraction Games,Abstraction Games,N/A,N/A,N/A,N/A,04th Apr 19,31st Mar 19
1404,PixARK,Snail Game,Snail Games USA,N/A,N/A,N/A,N/A,31st May 19,08th Apr 19
1405,Plague Inc: Evolved,Ndemic Creations,Ndemic Creations,N/A,N/A,N/A,N/A,02nd Aug 19,07th Nov 21
1406,Plague Road,Arcade Distillery,Arcade Distillery,N/A,N/A,N/A,N/A,07th Dec 17,25th Mar 18
1407,Planescape: Torment: Enhanced Edition,Beamdog,Black Isle Studios,N/A,N/A,N/A,N/A,24th Sep 19,08th Jun 19
1408,Plantera Deluxe,Ratalaika Games,Ratalaika Games,N/A,N/A,N/A,N/A,07th Dec 17,25th Mar 18
1409,Plants vs Zombies: Battle for Neighborville,Electronic Arts,PopCap Games,N/A,N/A,N/A,N/A,17th Mar 21,18th Feb 21
1410,Please Be Happy,Sekai Project,Studio Elan,N/A,N/A,N/A,N/A,01st Dec 20,17th Jul 20
1411,Plumbers Don’t Wear Ties,Unknown,Kirin Entertainment,N/A,N/A,N/A,N/A,N/A,15th Jun 21
1412,Pocket League Story,"Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",N/A,N/A,N/A,N/A,16th May 19,14th May 19
1413,Pocket Rumble,Chucklefish,Cardboard Robot Games,N/A,N/A,N/A,N/A,30th Dec 18,13th Feb 18
1414,Pocky & Rocky Reshrined,Unknown,Tengo Project,N/A,N/A,N/A,N/A,N/A,14th Jul 22
1415,"Pode
Read the review",Henchman & Goon,Henchman & Goon,6.0,N/A,9.0,N/A,01st May 18,25th Mar 18
1416,Poisoft Thud Card,Poisoft,Poisoft,N/A,N/A,N/A,N/A,01st Mar 18,25th Mar 18
1417,Pokémon Café Mix,Nintendo,Genius Sonority Inc.,N/A,N/A,N/A,N/A,23rd Jun 20,17th Jun 20
1418,Pokémon Quest,Nintendo,Game Freak,N/A,N/A,N/A,N/A,29th May 18,31st May 18
1419,Pokémon Scarlet / Violet,Unknown,Game Freak,N/A,N/A,N/A,N/A,N/A,31st May 22
1420,Pokémon Unite,The Pokémon Company,TiMi Studios,N/A,N/A,N/A,N/A,21st Jul 21,24th Jun 20
1421,Poly Bridge,Dry Cactus Limited,Dry Cactus Limited,N/A,N/A,N/A,N/A,14th Dec 17,25th Mar 18
1422,POOL,Sabec Limited,Sabec Limited,N/A,N/A,N/A,N/A,20th Feb 18,25th Mar 18
1423,Pool BILLIARD,D3Publisher,OHRUSSIA,N/A,N/A,N/A,N/A,15th Feb 18,25th Mar 18
1424,Pool Panic,Adult Swim,Rekim,N/A,N/A,N/A,N/A,01st Dec 18,25th Mar 18
1425,Postal Redux,MD Games,Running With Scissors,N/A,N/A,N/A,N/A,16th Oct 20,28th Sep 20
1426,Power Rangers: Battle for the Grid,nWay,nWay,N/A,N/A,N/A,N/A,26th Mar 19,24th Mar 19
1427,Premium Pool Arena,Bigben Interactive,Bigben Interactive,N/A,N/A,N/A,N/A,06th Feb 18,25th Mar 18
1428,Prinny Presents NIS Classics Volume 1,Unknown,Nippon Ichi Software,N/A,N/A,N/A,N/A,N/A,11th Sep 21
1429,Prinny Presents NIS Classics Volume 2,Unknown,Nippon Ichi Software,N/A,N/A,N/A,N/A,N/A,11th Sep 21
1430,PriPara: All Idol Perfect Stage,Takara Tomy ARTS,Takara Tomy ARTS,N/A,N/A,N/A,N/A,22nd Mar 18,12th Jan 18
1431,Private Bellbara Academy: Rose of Versailles Re*imagination,Idea Factory,Otomate,N/A,N/A,N/A,N/A,23rd May 19,25th Mar 19
1432,Project Nimbus: Complete Edition,GameTomo,GameTomo,N/A,N/A,N/A,N/A,16th May 19,14th May 19
1433,Project Warlock,Crunching Koalas,Buckshot Software,N/A,N/A,N/A,N/A,11th Jun 20,27th May 20
1434,Projection: First Light,Blowfish Studios,Shadowplay Studios,N/A,N/A,N/A,N/A,29th Sep 20,29th Sep 20
1435,ProtoCorgi,Unknown,Kemono Games,N/A,N/A,N/A,N/A,N/A,15th Jun 20
1436,"Psikyo Shooting Stars Alpha
Read the review",NIS America,City Connection,7.0,N/A,N/A,N/A,01st Dec 20,16th Aug 19
1437,"Psikyo Shooting Stars Bravo
Read the review",NIS America,City Connection,6.0,N/A,N/A,N/A,01st Dec 20,16th Aug 19
1438,Psyvariar Delta,City Connection,City Connection,N/A,N/A,N/A,N/A,11th Jul 19,07th Jul 19
1439,Pumpkin Jack,Headup Games,Headup Games,N/A,N/A,N/A,N/A,23rd Oct 20,06th Nov 20
1440,Puru-Chara Friends: Hoppe-chan to Sanrio Characters,Neos,Neos,N/A,N/A,N/A,N/A,25th Apr 19,22nd Mar 19
1441,Putty Pals,Harmonious Games,Harmonious Games,N/A,N/A,N/A,N/A,18th Oct 17,25th Mar 18
1442,Puyo Puyo Tetris 2,Sega,Sega,N/A,N/A,N/A,N/A,08th Dec 20,27th Aug 20
1443,Puzzle & Dragons GOLD,GungHo Online Entertainment,GungHo Online Entertainment,N/A,N/A,N/A,N/A,15th Jan 20,24th Dec 19
1444,Puzzle Adventure Blockle,Intense,Intense,N/A,N/A,N/A,N/A,03rd Aug 17,25th Mar 18
1445,Puzzle Box Maker,Bplus,Bplus,N/A,N/A,N/A,N/A,21st Dec 17,25th Mar 18
1446,Puzzle Puppers,Unknown,Cardboard Keep,N/A,N/A,N/A,N/A,N/A,06th Feb 18
1447,Puzzle Quest: The Legend Returns,D3Go,Infinite Interactive,N/A,N/A,N/A,N/A,19th Sep 19,16th Sep 19
1448,Qbics Paint,Abylight,Abylight,N/A,N/A,N/A,N/A,27th Jul 17,25th Mar 18
1449,Qbik,Forever Entertainment S.A.,Norbert Palacz,N/A,N/A,N/A,N/A,18th Jan 18,04th Feb 18
1450,Quake,Bethesda Softworks,id Software,N/A,N/A,N/A,N/A,19th Aug 21,26th Aug 21
1451,Quest of Dungeons,Upfall Studios,Upfall Studios,N/A,N/A,N/A,N/A,14th Sep 17,25th Mar 18
1452,R-Type Dimensions EX,Tozai Games,Tozai Games,N/A,N/A,N/A,N/A,28th Nov 18,12th Dec 18
1453,"R-Type Final 2
Read the review",Unknown,Granzella,6.5,N/A,N/A,N/A,N/A,19th Mar 21
1454,Rabbids: Adventure Party,Ubisoft,Ubisoft,N/A,N/A,N/A,N/A,01st Dec 20,05th Aug 19
1455,Rabi-Ribi,Unknown,Winking Entertainment,N/A,N/A,N/A,N/A,N/A,09th Jan 18
1456,"RAD
Read the review",Bandai Namco Entertainment,Double Fine Productions,6.0,N/A,N/A,N/A,20th Aug 19,02nd Apr 19
1457,Rad Rodgers Radical Edition,THQ Nordic,Slipgate Studios,N/A,N/A,N/A,N/A,26th Feb 19,03rd Jan 19
1458,Radiation Island,Atypical Games,Atypical Games,N/A,N/A,N/A,N/A,22nd Feb 18,25th Mar 18
1459,Radical Rabbit Stew,Unknown,Pugstorm Game Studios,N/A,N/A,N/A,N/A,N/A,24th Mar 19
1460,Raging Justice,Unknown,MakinGames Ltd,N/A,N/A,N/A,N/A,N/A,02nd Feb 18
1461,Raging loop,Unknown,Kemco,N/A,N/A,N/A,N/A,N/A,03rd May 20
1462,Raiden V: Director’s Cut,UFO Interactive,"Moss Co., Ltd.",N/A,N/A,N/A,N/A,25th Jul 19,05th Jul 19
1463,Rally Racers,System 3,System 3 Software,N/A,N/A,N/A,N/A,11th Jan 18,25th Mar 18
1464,Re:Turn – One Way Trip,Green Man Gaming,Red Ego Games,N/A,N/A,N/A,N/A,29th Sep 20,08th Jul 20
1465,Realpolitiks,Jujubee S.A.,Jujubee S.A.,N/A,N/A,N/A,N/A,30th Aug 18,31st Mar 19
1466,Record of Lodoss War: Deedlit in Wonder Labyrinth,Unknown,Team Ladybug,N/A,N/A,N/A,N/A,N/A,21st Oct 21
1467,Red Faction: Guerrilla Re-Mars-tered,THQ,Kaiko,N/A,N/A,N/A,N/A,02nd Jul 19,04th Jul 19
1468,Red Game Without a Great Name,iFun4all,iFun4all,N/A,N/A,N/A,N/A,07th Dec 17,25th Mar 18
1469,"Red Wings: Aces of the Sky
Read the review",All in! Games,All in! Games,6.0,N/A,N/A,N/A,21st May 20,18th Feb 20
